baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID,gene_symbol,regulation_level
252.1817238,-0.5527516,0.315402126,-1.752529722,0.079682764,0.168073698,ENSRNOG00000015997,Ccdc106,Unchanged
2.861790479,-5.01327339,2.906149551,-1.725056919,0.084517215,0.176015686,ENSRNOG00000014951,Mesp1,Unchanged
9.5125775,-2.122379801,2.075951229,-1.022364963,0.306608197,0.464225114,ENSRNOG00000031086,RGD1563931,Unchanged
2940.330909,-1.344173011,0.165044622,-8.144300566,3.81E-16,1.07E-14,ENSRNOG00000016343,Dkk3,Downregulated
1533.633476,-0.003149766,0.146088803,-0.021560622,0.982798445,0.989978114,ENSRNOG00000027487,Trim28,Unchanged
1314.557068,0.582862614,0.146679182,3.973724205,7.08E-05,0.000401342,ENSRNOG00000017120,Abhd2,Upregulated
2498.22969,-0.870622279,0.140910623,-6.178542564,6.47E-10,8.71E-09,ENSRNOG00000050445,Gde1,Downregulated
378.5070448,1.105274036,0.247321779,4.468971714,7.86E-06,5.44E-05,ENSRNOG00000012236,Hddc3,Upregulated
18.45764895,1.157112879,1.099069619,1.052811267,0.2924275,0.449169924,ENSRNOG00000015948,Slc1a5,Unchanged
184.8013852,0.692463849,0.35309091,1.961148898,0.049861656,0.115937879,ENSRNOG00000021174,Macrod1,Unchanged
492.3832974,-0.7301068,0.259490425,-2.813617495,0.004898748,0.017009474,ENSRNOG00000017463,Bloc1s3,Downregulated
321.3831592,1.254264238,0.293154066,4.278515573,1.88E-05,0.000121659,ENSRNOG00000020201,Yif1a,Upregulated
2060.946528,-0.090766869,0.134193595,-0.676387493,0.498794656,0.64836355,ENSRNOG00000015914,U2af2,Unchanged
152.0110072,-0.9467812,0.425622005,-2.224464876,0.026117183,0.069045483,ENSRNOG00000018350,Shtn1,Unchanged
12.73140052,0.282062157,1.463071643,0.192787659,0.847125269,0.905010222,ENSRNOG00000050995,NA,Unchanged
40.1353368,2.744088508,0.808718854,3.393130374,0.000690987,0.003065627,ENSRNOG00000026857,Kif7,Upregulated
66.735279,0.572031526,0.595644399,0.960357433,0.336875354,0.496095225,ENSRNOG00000019662,Tm6sf1,Unchanged
37.02674831,0.550874929,0.871594906,0.632030918,0.527366674,0.673184111,ENSRNOG00000017872,LOC688778,Unchanged
1168.105245,0.165120286,0.167853196,0.983718456,0.325253963,0.484252203,ENSRNOG00000012736,Znrd2,Unchanged
2.446752423,-4.786016489,3.464917122,-1.381278778,0.167193261,NA,ENSRNOG00000019427,Tescl,NA
114.6500729,0.845343895,0.483894161,1.746960315,0.080644222,0.169692421,ENSRNOG00000024602,Plekha7,Unchanged
434.3366115,-0.277089237,0.258892965,-1.070284923,0.284491079,0.439876648,ENSRNOG00000059968,Jak2,Unchanged
232.9714612,-0.912694728,0.427653246,-2.134193384,0.032826954,0.083396436,ENSRNOG00000028984,RGD1563307,Unchanged
32.35841548,3.867964887,0.933461516,4.143679008,3.42E-05,0.000208843,ENSRNOG00000019005,Pde8a,Upregulated
17085.21708,-0.648337113,0.127452506,-5.08689186,3.64E-07,3.23E-06,ENSRNOG00000020851,Aplp1,Downregulated
343.3457035,-0.568155147,0.282101061,-2.014012798,0.04400819,0.10503268,ENSRNOG00000015491,Rcl1,Unchanged
18.23330624,-3.078969118,1.195372987,-2.575739247,0.010002605,0.031256464,ENSRNOG00000037298,RGD1309036,Downregulated
271.621661,-1.085994675,0.310615118,-3.496271147,0.000471809,0.002201408,ENSRNOG00000018725,Phkg2,Downregulated
39.35095119,-0.373832982,0.733364135,-0.509750838,0.610226032,0.73872439,ENSRNOG00000036760,Tmc5,Unchanged
152.9852025,0.128818926,0.434614562,0.29639809,0.766926084,0.850027461,ENSRNOG00000012782,Cemip2,Unchanged
51.40682677,-0.593339432,0.681356979,-0.870820217,0.383852325,0.544337808,ENSRNOG00000049259,LOC102549842,Unchanged
371.9629746,-0.070440456,0.254995762,-0.276241674,0.782362451,0.861542771,ENSRNOG00000014190,Hint3,Unchanged
667.2367988,-1.108627885,0.200317583,-5.53435135,3.12E-08,3.27E-07,ENSRNOG00000029049,Zdhhc14,Downregulated
425.3877279,0.17152283,0.224519632,0.763954708,0.444894234,0.602682139,ENSRNOG00000010224,Rab30,Unchanged
221.6457654,0.277648863,0.341723602,0.812495426,0.41650741,0.577334145,ENSRNOG00000016054,Tab2,Unchanged
25.6964412,-0.458114605,1.15606383,-0.396271031,0.691905096,0.797520299,ENSRNOG00000014240,Trmt11,Unchanged
15.59275223,1.103332263,1.478588084,0.746206652,0.455542591,0.612217391,ENSRNOG00000014936,Ifitm2,Unchanged
1693.783113,-0.32702224,0.18096115,-1.807140597,0.07074036,0.153230628,ENSRNOG00000021164,Stip1,Unchanged
391.0771352,0.136238447,0.27303373,0.498980282,0.617793275,0.743957083,ENSRNOG00000013023,Nop53,Unchanged
12.86652399,-1.166315919,1.524421063,-0.765087775,0.444219279,0.601971758,ENSRNOG00000020578,Ceacam1,Unchanged
313.554392,-0.164650951,0.26522469,-0.620797977,0.534732555,0.678562858,ENSRNOG00000018840,Rnf40,Unchanged
450.3485923,-0.678937527,0.230248153,-2.948720842,0.003190921,0.011815441,ENSRNOG00000020763,Snrnp70,Downregulated
6.378506348,1.08435283,2.110023799,0.513905497,0.607318064,0.736285017,ENSRNOG00000025327,Tert,Unchanged
31.87277286,3.689428287,1.054642683,3.498273251,0.000468281,0.002187135,ENSRNOG00000009922,Prlhr,Upregulated
756.8644348,-0.327256165,0.184920809,-1.769709786,0.076775499,0.163543851,ENSRNOG00000012788,Clns1a,Unchanged
211.9714408,-0.398536617,0.483631654,-0.824049902,0.409911204,0.570552583,ENSRNOG00000055028,Setd1a,Unchanged
16.17703262,4.576859024,1.343254608,3.407290768,0.000656112,0.002931345,ENSRNOG00000018369,Prx,Upregulated
489.5559968,-1.038191163,0.235334548,-4.411554404,1.03E-05,6.99E-05,ENSRNOG00000036649,Pwwp2b,Downregulated
348.7288818,-0.911916313,0.290239673,-3.141942318,0.001678311,0.006767898,ENSRNOG00000017294,Zranb1,Downregulated
3.977664848,3.145967869,2.727990725,1.153217949,0.248820938,0.39997144,ENSRNOG00000020783,Ntf4,Unchanged
96.7477185,0.61620695,0.526152815,1.171155855,0.241536136,0.391046529,ENSRNOG00000020692,Tmem216,Unchanged
885.8481208,-0.751698033,0.220945645,-3.402185341,0.000668493,0.002979051,ENSRNOG00000019178,Taf10,Downregulated
148.3240305,-0.35260101,0.395290733,-0.892004241,0.372390659,0.533135103,ENSRNOG00000017622,Npm3,Unchanged
226.1531876,-0.669713013,0.3473952,-1.927813085,0.05387838,0.123310462,ENSRNOG00000017728,Edrf1,Unchanged
4.323560692,2.290974027,2.914956897,0.785937531,0.431904085,0.590341538,ENSRNOG00000013713,LOC499240,Unchanged
46.70678097,0.784737437,0.779930753,1.006162963,0.314337185,0.471609619,ENSRNOG00000020693,Tmem138,Unchanged
22.58127952,1.684924699,1.058027056,1.592515701,0.111268878,0.217736973,ENSRNOG00000019838,Gmfg,Unchanged
770.2964166,-1.214924542,0.184723595,-6.576986246,4.80E-11,7.56E-10,ENSRNOG00000019306,Syt12,Downregulated
256.6773101,0.333639953,0.290064372,1.150227279,0.250050274,0.40144028,ENSRNOG00000020848,Coq8b,Unchanged
1437.755424,0.278380003,0.153822712,1.809745768,0.070335222,0.152612925,ENSRNOG00000016807,Oat,Unchanged
1842.811387,1.208867596,0.143423676,8.428647391,3.50E-17,1.12E-15,ENSRNOG00000017673,Brsk1,Upregulated
3.802677672,5.355411248,3.049305941,1.756272198,0.079041942,0.166998927,ENSRNOG00000020953,Ms4a7,Unchanged
288.6104749,-0.437954408,0.297051612,-1.474337757,0.140390674,0.260576562,ENSRNOG00000021096,Tmem143,Unchanged
441.400194,1.889364164,0.249849829,7.561999043,3.97E-14,8.96E-13,ENSRNOG00000013770,Folh1,Upregulated
49.7960611,2.252071693,0.832574084,2.70495051,0.006831457,0.022609407,ENSRNOG00000016980,Qprt,Upregulated
2457.024694,0.919124906,0.132629033,6.930043036,4.21E-12,7.50E-11,ENSRNOG00000013017,Arnt2,Upregulated
20.71657088,1.904606306,1.313994476,1.449478169,0.147204093,0.270353966,ENSRNOG00000016627,Eya4,Unchanged
243.1102669,-0.315305254,0.347054851,-0.908517062,0.363605103,0.524096231,ENSRNOG00000021158,Nudt22,Unchanged
93.31013134,-1.801844807,0.554474554,-3.249643822,0.001155496,0.004851143,ENSRNOG00000020705,Rnls,Downregulated
271.3937855,0.113995234,0.304287371,0.374630184,0.707935522,0.808613157,ENSRNOG00000010230,Dennd10,Unchanged
1016.92818,-0.501257176,0.171494648,-2.922873581,0.003468173,0.012680989,ENSRNOG00000016011,Plekhg1,Downregulated
26.52954644,0.248108392,0.906398032,0.273730065,0.784292072,0.862715113,ENSRNOG00000053015,Ccdc189,Unchanged
226.0538222,1.968929508,0.330499305,5.957439172,2.56E-09,3.19E-08,ENSRNOG00000009910,Swap70,Upregulated
49.74573943,-0.154567953,0.693768315,-0.222794771,0.823695237,0.889829959,ENSRNOG00000014673,Eri2,Unchanged
310.5843528,-1.223999315,0.305756131,-4.003188125,6.25E-05,0.000359427,ENSRNOG00000017456,Vstm2b,Downregulated
220.5801555,-0.442574012,0.322131416,-1.373892733,0.169474986,0.301367833,ENSRNOG00000014234,Hif1an,Unchanged
213.6846141,1.013567244,0.386123721,2.624980519,0.008665392,0.027785251,ENSRNOG00000021203,Atl3,Upregulated
